22:57:26:902 [ALWAYS]	GUDE Logging Started
22:57:26:903 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:57:26:903 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:57:26:903 [ERROR]	Initialize resume cache pointer failure
22:57:26:903 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:57:26:903 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:57:29:453 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:57:29:454 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:57:29:454 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:57:29:454 [ERROR]	Initialize resume cache pointer failure
22:57:29:454 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:57:29:454 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
